id,name,type,sort,ranking,points,gender,alive,genre
unna,Universal Music Group Nashville,2,4,NA,NA,NA,NA,NA
rcav,RCA Victor,2,4,NA,NA,NA,NA,NA
stev,Steve Lacy,1,1,39,2371,2,1,1
bigl,Big Loud Records,2,5,NA,NA,NA,NA,NA
ampe,AMPED,2,7,NA,NA,NA,NA,NA
qual,Quality Control Music,2,5,NA,NA,NA,NA,NA
moto,Motown Records,2,4,NA,NA,NA,NA,NA
capi,Capitol Records,2,4,NA,NA,NA,NA,NA
free,Freebandz,2,4,NA,NA,NA,NA,NA
epic,Epic Records,2,4,NA,NA,NA,NA,NA
rcan,RCA Records Nashville,2,4,NA,NA,NA,NA,NA
defj,Def Jam Recordings,2,4,NA,NA,NA,NA,NA
rhen,Rhenzy Feliz,1,1,54,1714,2,1,1
gene,Generation Now,2,4,NA,NA,NA,NA,NA
atla,Atlantic Records,2,4,NA,NA,NA,NA,NA
word,Word Records,2,5,NA,NA,NA,NA,NA
isla,Island Def Jam Music Group,2,4,NA,NA,NA,NA,NA
isre,Island Records,2,4,NA,NA,NA,NA,NA
merc,Mercury Records,2,4,NA,NA,NA,NA,NA
colu,Columbia Records,2,4,NA,NA,NA,NA,NA
alam,Alamo Records,2,4,NA,NA,NA,NA,NA
tyco,Tyler Cole,1,1,135,638,2,1,1
300e,300 Entertainment,2,4,NA,NA,NA,NA,NA
wana,Warner Music Nashville,2,4,NA,NA,NA,NA,NA
sona,Sony Music Nashville,2,4,NA,NA,NA,NA,NA
ware,Warner Records,2,4,NA,NA,NA,NA,NA
elek,Elektra Records,2,4,NA,NA,NA,NA,NA
univ,Universal Music Group,2,3,NA,NA,NA,NA,NA
nice,Nice Life Recording Company,2,4,NA,NA,NA,NA,NA
bigg,Big Grrrl Small World,2,5,NA,NA,NA,NA,NA
rodd,Roddy Ricch,1,1,116,745,2,1,4
sony,Sony Music Entertainment,2,3,NA,NA,NA,NA,NA
kidi,Kidinakorner,2,4,NA,NA,NA,NA,NA
inte,interscope Records,2,4,NA,NA,NA,NA,NA
geff,Geffen,2,4,NA,NA,NA,NA,NA
rcar,RCA Records,2,4,NA,NA,NA,NA,NA
monu,Monument Records,2,4,NA,NA,NA,NA,NA
drea,Dreamville Records,2,4,NA,NA,NA,NA,NA
zach,Zach Bryan,1,1,42,2220,2,1,8
cash,Cash Money Records,2,4,NA,NA,NA,NA,NA
lm,LM Records,2,5,NA,NA,NA,NA,NA
afte,Aftermath Entertainment,2,4,NA,NA,NA,NA,NA
topd,Top Dawg Entertainment,2,5,NA,NA,NA,NA,NA
moon,Moon Projects Record Label,2,4,NA,NA,NA,NA,NA
mosl,Mosley Music Group,2,4,NA,NA,NA,NA,NA
arth,Arthouse Entertainment,2,5,NA,NA,NA,NA,NA
brel,Breland,1,1,108,832,2,1,4
dier,Dierks Bentley,1,1,109,831,2,1,8
nate,Nate Smith,1,1,110,800,2,1,8
natk,Nat King Cole,1,1,111,796,2,2,9
take,Takeoff,1,1,144,594,2,2,4
jvke,JVKE,1,1,113,785,2,1,1
rudi,Russell Dickerson,1,1,151,562,2,1,8
ingr,Ingrid Andress,1,1,117,740,1,1,8
mars,Marshmello,1,8,118,736,2,1,7
polo,Polo G,1,1,120,726,2,1,4
carr,Carrie Underwood,1,1,121,713,1,1,8
yomo,Young Money Entertainment,2,4,NA,NA,NA,NA,NA
park,Parker McCollum,1,1,123,695,2,1,8
khal,Khalid,1,1,124,688,2,1,6
chst,Chris Stapleton,1,1,125,683,2,1,8
andy,Andy Williams,1,1,126,680,2,2,1
hitk,Hitkidd,1,8,127,679,2,1,4
mari,Mariah Carey,1,1,128,671,1,1,1
mare,Maren Morris,1,1,129,669,1,1,8
jhay,Jhay Cortez,1,1,130,654,2,1,4
bren,Brenda Lee,1,1,131,648,1,1,8
d4vd,d4vd,1,1,132,640,2,1,1
anxi,The Anxiety,1,2,135,638,4,1,1
